id,name,startedAt,endedAt,postureStanding ,postureSittingPublic ,postureSittingPrivate ,postureSitting ,postureLying ,genderMale ,genderFemale ,age0To14 ,age15To24 ,age25To64 ,age65Plus ,activityConsuming ,activityPlaying ,activitySleep ,activityCulturallyEngaged ,activityWaitingTransport ,activityCommercial ,activityPet ,activitySubstanceUse ,activityHomelessCamping ,activityPanhandling ,location
SFCC8396,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,,1,,,,,,,,,,,"-122.419, 37.7793"
SFCC8397,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8398,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8399,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,,1,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8400,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,,1,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8401,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,1,,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8402,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,1,,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8403,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8404,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8405,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,1,,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8406,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8407,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,1,,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8408,City Hall,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.419, 37.7793"
SFCC8409,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8410,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8411,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8412,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8413,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8414,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8415,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8416,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8417,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,1,,,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8418,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,1,,,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8419,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,,1,,,,,,,,,,,"-122.418, 37.7796"
SFCC8420,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,,1,,,,,,,,,,,"-122.418, 37.7796"
SFCC8421,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,,1,,,,,,,,,,,"-122.418, 37.7796"
SFCC8422,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8423,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8424,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8425,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8426,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8427,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8428,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8429,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8430,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8431,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,1,,,"-122.418, 37.7796"
SFCC8432,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8433,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,1,,"-122.418, 37.7796"
SFCC8434,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8435,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8436,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,1,,,,,,1,,,1,,1,,,,,,,,,,"-122.418, 37.7796"
SFCC8437,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,,1,1,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC8438,Civic Center Plaza,05/25/17 11:00 AM,05/25/17 11:10 AM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
