id,name ,locationType ,unitAddress,surveyor ,startedAt ,endedAt ,modePedestrian ,genderMale ,genderFemale ,age15To24 ,age25To64 ,age0To14 ,age65Plus ,congregationPair ,congregationGroup ,postureStanding ,posturePhysicalActivities ,postureSitting ,postureSittingPrivate ,postureSittingPublic ,postureSittingMobile ,postureSittingWheelchair ,postureSittingStroller ,sittingInformal,postureSittingGround ,postureLeaning ,postureLying ,activityCulturallyEngaged ,activityCommercial ,activityCommercialInformal ,activityRunning ,activityPlaying ,activityInformalPlaying ,activityRollerbladingSkateboarding ,activityConsuming ,activityElectronics ,activityConversing,activityWatching,activityIdle,activityWaitingTransport ,activityWaitingCrosswalk,activityPet,activitySubstanceUse ,activityIntoxicated ,activitySleep ,activityPanhandling,activitiesUrinatingDefecating,activityLittering,objectLuggage,objectStroller,objectPushcart,objectPet,parkedBikeRack ,objectEmptyBikeRack ,parkedBikeOther ,parkedBikeRack ,bikeCounterTraffic ,bikeSidewalk ,bikeNoHelmet ,parkedBikeRack ,objectEmptyParklet ,parkedScooter ,parkedCar ,parkedVan,parkedTruck,parkedLoading ,parkedDouble ,objectEmptyParking ,parkedIllegally ,notes
13,UNITEDNAT512B,plaza,"51 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 06:00 PM,04/05/16 06:12 PM,186,26,16,29,0,0,10,2,3,15,0,0,0,0,2,2,0,15,0,4,1,0,7,7,0,0,0,0,3,9,16,8,0,4,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,UNITEDNAT502A,plaza,"50 United Nations Plz San Francisco, CA 94102",Qiqi Xu,05/04/16 05:21 PM,05/04/16 05:30 PM,96,19,3,18,0,0,2,2,1,3,0,0,0,0,2,0,1,12,0,1,4,0,0,0,0,0,0,0,6,0,11,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Most people sitting are with their luggages/belongings. 
15,UNITEDNAT511C,plaza,"51 United Nations Plz San Francisco, CA 94102",Urmila Janardan,04/05/16 05:24 PM,04/05/16 05:30 PM,34,6,4,0,0,1,0,0,1,7,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Catch 22 was just sitting on the planter with no owner. 
16,HYDE46,plaza,"46 Hyde St San Francisco, CA 94102",Urmila Janardan,04/05/16 07:00 PM,04/05/16 07:05 PM,55,13,5,0,0,0,0,0,4,11,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,UNITEDNAT501B,plaza,"50 United Nations Plz San Francisco, CA 94102",Urmila Janardan,04/05/16 06:05 PM,04/05/16 06:11 PM,56,12,4,0,0,0,1,4,0,5,0,0,0,0,1,1,0,6,0,2,0,2,0,0,0,0,0,0,12,0,4,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,UNITEDNAT511C,plaza,"51 United Nations Plz San Francisco, CA 94102",Urmila Janardan,05/04/16 06:13 PM,05/04/16 06:17 PM,34,8,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,HYDE46,plaza,"46 Hyde St San Francisco, CA 94102",Urmila Janardan,04/05/16 06:00 PM,04/05/16 06:05 PM,56,15,3,0,0,0,0,2,0,2,0,0,0,1,0,0,0,11,0,1,0,0,0,0,0,0,0,0,15,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,VALENCIA914,parklet,"914 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 12:00 PM,06/10/14 12:02 PM,8,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parklet: Freewheel Bike Shop. Only one user of parklet, other person was standing on adjoining sidewalk"
21,VALENCIA914,parklet,"914 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 12:37 PM,06/10/14 12:40 PM,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parklet: Freewheel Bike Shop. No parklet users, just one on adjoing sidewalk"
22,VALENCIA914,parklet,"914 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 01:00 PM,06/10/14 01:02 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parklet: Freewheel Bike Shop. No stationary activity recorded at all
23,VALENCIA914,parklet,"914 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 01:38 PM,06/10/14 01:42 PM,17,3,1,0,0,0,1,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Parklet: Freewheel Bike Shop. only 2 people were in the parklet, and they left after 30-60 seconds"
24,VALENCIA950,block,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 12:13 PM,06/10/14 12:19 PM,36,5,4,0,0,0,2,2,3,7,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,6,0,0,0,0,12,0,0,0,0,4,0,
25,VALENCIA951,block,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 12:19 PM,06/10/14 12:24 PM,21,2,4,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,9,2,0,0,3,0,0,0,0,13,0,0,0,0,1,0,
26,VALENCIA951,block,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 01:23 PM,06/10/14 01:27 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,6,0,0,0,0,14,0,0,0,0,3,0,
27,VALENCIA950,block,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,06/10/14 01:18 PM,06/10/14 01:23 PM,27,4,3,2,0,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,11,0,0,0,0,3,0,
