id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1344,TARAVAL1750,"1750 Taraval St San Francisco, CA 94116",Justin Panganiban,sunny,70,06/18/14 06:12 PM,06/18/14 06:22 PM,11,6,5,0,2,0,1,0,0,0,0,0,0,
1345,9TH1351,"1351 09th Ave San Francisco, CA 94122",Alex Riemondy,sunny,70,06/17/14 12:08 PM,06/17/14 12:18 PM,33,20,13,0,2,0,6,0,0,0,0,0,0,
1346,9TH1350,"1350 09th Ave San Francisco, CA 94122",Alex Riemondy,sunny,70,06/17/14 12:31 PM,06/17/14 12:41 PM,35,22,13,0,1,0,7,1,0,0,0,0,0,
1347,9TH1351,"1351 09th Ave San Francisco, CA 94122",Alex Riemondy,sunny,70,06/16/14 01:09 PM,06/16/14 01:19 PM,30,14,16,0,2,0,1,1,0,0,0,0,0,
1348,9TH1350,"1350 09th Ave San Francisco, CA 94122",Alex Riemondy,sunny,70,06/17/14 01:32 PM,06/17/14 01:42 PM,37,20,17,0,2,0,8,1,0,0,1,0,0,
1349,STOCKTON1550,"1550 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,60,06/10/14 06:00 PM,06/10/14 06:10 PM,80,47,33,0,8,0,6,0,0,0,0,0,0,
1350,STOCKTON1551,"1551 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,60,06/10/14 06:10 PM,06/10/14 06:20 PM,44,20,24,0,0,0,7,0,0,2,0,0,0,
1351,STOCKTON1550,"1550 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,60,06/10/14 05:20 PM,06/10/14 05:30 PM,110,53,57,0,6,0,9,2,0,0,1,0,0,
1352,STOCKTON1551,"1551 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,60,06/10/14 05:40 PM,06/10/14 05:50 PM,32,17,15,0,0,0,3,0,0,0,0,0,0,
1353,18TH1351,1351 18th St,Sara Ameri,sunny,,06/17/14 01:10 PM,06/17/14 01:15 PM,10,4,6,0,0,0,0,0,0,0,0,0,0,
1354,CLEMENT251,"251 Clement St San Francisco, CA 94118",Eunice Fong,cloudy,66,06/11/14 01:05 PM,06/11/14 01:15 PM,54,32,22,0,0,0,20,0,0,1,1,0,0,"restaurants to the right and left of my chosen position, so many people didn't end reaching the line i chose! "
1355,18TH1350,1350 18th St,Sara Ameri,sunny,,06/17/14 01:15 PM,06/17/14 01:20 PM,3,2,1,0,0,0,0,0,0,0,0,0,0,
1356,18TH1350,1350 18th St,Sara Ameri,sunny,,06/17/14 12:24 PM,06/17/14 12:29 PM,4,4,0,0,0,0,0,0,0,0,0,0,0,
1357,18TH1351,1351 18th St,Sara Ameri,sunny,,06/17/14 12:09 PM,06/17/14 12:14 PM,14,6,8,0,0,0,1,1,0,0,0,0,0,
1358,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,66,06/17/14 05:40 PM,06/17/14 05:50 PM,166,76,90,0,18,0,14,4,0,0,0,0,0,
1359,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,66,06/17/14 05:52 PM,06/17/14 06:02 PM,149,79,70,0,13,0,14,13,0,1,0,0,0,
1360,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,64,06/17/14 06:15 PM,06/17/14 06:25 PM,139,67,72,0,11,0,11,5,0,0,1,0,0,
1361,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,64,06/17/14 06:29 PM,06/17/14 06:36 PM,193,105,88,0,8,0,15,28,0,0,0,0,0,
1362,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,,06/17/14 07:05 PM,06/17/14 07:10 PM,180,87,93,0,15,0,12,1,0,0,0,0,0,
1363,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Mahsa Kassai,sunny,64,06/17/14 07:16 PM,06/17/14 07:26 PM,150,82,68,0,6,0,12,15,0,0,0,0,0,
1364,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Mahsa Kassai,sunny,66,06/17/14 02:00 PM,06/17/14 02:10 PM,167,85,82,0,18,0,15,1,0,0,0,0,0,
1365,JEFFERSON451,"451 Jefferson St San Francisco, CA 94109",Amir Hajrasouliha,sunny,66,06/17/14 04:55 PM,06/17/14 05:05 PM,209,101,108,0,26,0,26,0,0,0,0,0,0,
1366,JEFFERSON250,"250 Jefferson St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/17/14 02:30 PM,06/17/14 02:40 PM,244,116,128,0,4,0,16,2,0,0,0,0,0,
1367,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/17/14 02:03 PM,06/17/14 02:13 PM,189,95,94,0,23,0,21,1,0,0,0,0,0,
1368,JEFFERSON450,"450 Jefferson St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/17/14 03:22 PM,06/17/14 03:32 PM,200,79,121,0,27,0,17,5,0,0,0,0,0,
