id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove45,Polk at Mcallister,,"-122.418643981218, 37.7804935183439",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove46,Mcallister at Civic Center Plaza (south side),,"-122.417773604393, 37.7803313442379",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove47,Mcallister at Civic Center Plaza (south side),,"-122.417773604393, 37.7803313442379",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove48,Mcallister at Civic Center Plaza (south side),,"-122.417773604393, 37.7803313442379",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove49,Mcallister at Civic Center Plaza (south side),,"-122.417773604393, 37.7803313442379",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove50,CC Plaza crossing at City Hall,,"-122.418387830257, 37.7793885014858",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove51,CC Plaza crossing at City Hall,,"-122.418387830257, 37.7793885014858",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove52,CC Plaza crossing at City Hall,,"-122.418387830257, 37.7793885014858",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove53,CC Plaza crossing at City Hall,,"-122.418387830257, 37.7793885014858",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove54,Grove at Civic Center Plaza (south side),"Metal barriers blocking sidewalk, makeshift sidewalk on street","-122.417414188385, 37.7785251459678",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove55,Grove at Civic Center Plaza (south side),"Metal barriers blocking sidewalk, makeshift sidewalk on street","-122.417414188385, 37.7785251459678",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove56,Grove at Civic Center Plaza (south side),"Metal barriers blocking sidewalk, makeshift sidewalk on street","-122.417414188385, 37.7785251459678",09/22/17 10:00 PM,09/22/17 10:10 PM,1
